Id	Desc	Name	Icon	ModelId	FakeObjId	FellowType	BabyFellowId	EvolveLevel	ClassId	ElementAttr	BuyUseMoney	CallLevel	AttackType	FirstSkillId	BaseAttackDown_White	BaseAttackUp_White	BaseAttackDown_Green	BaseAttackUp_Green	BaseAttackDown_Blue	BaseAttackUp_Blue	BaseAttackDown_Purple	BaseAttackUp_Purple	BaseAttackDown_Orange	BaseAttackUp_Orange	BaseHitDown_White	BaseHitUp_White	BaseHitDown_Green	BaseHitUp_Green	BaseHitDown_Blue	BaseHitUp_Blue	BaseHitDown_Purple	BaseHitUp_Purple	BaseHitDown_Orange	BaseHitUp_Orange	BaseCriticalDown_White	BaseCriticalUp_White	BaseCriticalDown_Green	BaseCriticalUp_Green	BaseCriticalDown_Blue	BaseCriticalUp_Blue	BaseCriticalDown_Purple	BaseCriticalUp_Purple	BaseCriticalDown_Orange	BaseCriticalUp_Orange	BaseGuardDown_White	BaseGuardUp_White	BaseGuardDown_Green	BaseGuardUp_Green	BaseGuardDown_Blue	BaseGuardUp_Blue	BaseGuardDown_Purple	BaseGuardUp_Purple	BaseGuardDown_Orange	BaseGuardUp_Orange	BaseBlessDown_White	BaseBlessUp_White	BaseBlessDown_Green	BaseBlessUp_Green	BaseBlessDown_Blue	BaseBlessUp_Blue	BaseBlessDown_Purple	BaseBlessUp_Purple	BaseBlessDown_Orange	BaseBlessUp_Orange	LevelAddAttack	LevelAddHit	LevelAddCritical	LevelAddGuard	LevelAddBless	AttachAttackOffset	AttachHitOffset	AttachCriticalOffset	AttachGuardOffset	AttachBlessOffset	AttachAttackRatio	AttachHitRatio	AttachCriticalRatio	AttachGuardRatio	AttachBlessRatio	StarExp_White	StarExp_Green	StarExp_Blue	StarExp_Purple	StarExp_Orange	TallentSkillCount	TallentSkill1	TallentSkill2	TallentSkill3	TallentSkill4	TallentSkill5	Valible
199	宠物机械战士_2变	变异机械战士	Pet	507	109	2	196	2	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
200	宠物机械战士_3变	变异机械战士	Pet	507	109	2	196	3	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
201	宠物机械战士_4变	变异机械战士	Pet	507	109	2	196	4	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
202	宠物机械战士_5变	变异机械战士	Pet	507	109	2	196	5	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
203	宠物机械战士_6变	变异机械战士	Pet	507	109	2	196	6	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
204	宠物机械战士_7变	变异机械战士	Pet	507	109	2	196	7	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
205	宠物机械战士_8变	变异机械战士	Pet	507	109	2	196	8	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
206	宠物机械战士_9变	变异机械战士	Pet	507	109	2	196	9	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
207	宠物机械战士_10变	变异机械战士	Pet	507	109	2	196	10	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
208	宠物路障_宝宝	路障宝宝	Pet	508	110	0	208	0	0	4	1	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
209	宠物路障_完全体	完全体路障	Pet	508	110	1	208	0	0	4	1	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
210	宠物路障_1变	变异路障	Pet	509	111	2	208	1	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
211	宠物路障_2变	变异路障	Pet	509	111	2	208	2	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
212	宠物路障_3变	变异路障	Pet	509	111	2	208	3	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
213	宠物路障_4变	变异路障	Pet	509	111	2	208	4	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
214	宠物路障_5变	变异路障	Pet	509	111	2	208	5	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
215	宠物路障_6变	变异路障	Pet	509	111	2	208	6	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
216	宠物路障_7变	变异路障	Pet	509	111	2	208	7	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
217	宠物路障_8变	变异路障	Pet	509	111	2	208	8	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
218	宠物路障_9变	变异路障	Pet	509	111	2	208	9	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
219	宠物路障_10变	变异路障	Pet	509	111	2	208	10	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
220	宠物座狼_宝宝	座狼宝宝	Pet	510	112	0	220	0	0	4	1	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
221	宠物座狼_成年	成年座狼	Pet	510	112	1	220	0	0	4	1	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
222	宠物座狼_1变	变异座狼	Pet	511	113	2	220	1	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
223	宠物座狼_2变	变异座狼	Pet	511	113	2	220	2	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
224	宠物座狼_3变	变异座狼	Pet	511	113	2	220	3	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
225	宠物座狼_4变	变异座狼	Pet	511	113	2	220	4	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
226	宠物座狼_5变	变异座狼	Pet	511	113	2	220	5	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
227	宠物座狼_6变	变异座狼	Pet	511	113	2	220	6	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
228	宠物座狼_7变	变异座狼	Pet	511	113	2	220	7	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
229	宠物座狼_8变	变异座狼	Pet	511	113	2	220	8	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
230	宠物座狼_9变	变异座狼	Pet	511	113	2	220	9	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
231	宠物座狼_10变	变异座狼	Pet	511	113	2	220	10	0	4	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1448	1959	-1	-1	-1	-1	-1	-1	-1	-1	351	474	-1	-1	-1	-1	-1	-1	-1	-1	467	632	-1	-1	-1	-1	-1	-1	-1	-1	876	1186	-1	-1	-1	-1	-1	-1	-1	-1	682	922	174	42	56	105	82	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53701	53401	0	0	0	0
